Top pages,Clicks,Impressions,CTR,Position
https://www.obscureholidaycalendar.com/,15,477,3.14%,11.98
https://www.obscureholidaycalendar.com/holiday/national-cookie-day/,5,12,41.67%,26.25
https://www.obscureholidaycalendar.com/holiday/national-roof-over-your-head-day/,4,195,2.05%,11.62
https://www.obscureholidaycalendar.com/discord-bot/,4,87,4.6%,9.13
https://www.obscureholidaycalendar.com/holiday/barbie-and-barney-backlash-day/,2,254,0.79%,10.07
https://www.obscureholidaycalendar.com/holiday/stay-home-because-youre-well-day/,2,160,1.25%,12.28
https://www.obscureholidaycalendar.com/holiday/national-mutt-day/,2,138,1.45%,7.76
https://www.obscureholidaycalendar.com/holiday/everything-you-do-is-right-day/,2,127,1.57%,6.82
https://www.obscureholidaycalendar.com/holiday/leap-day/,2,112,1.79%,3.35
https://www.obscureholidaycalendar.com/holiday/national-bouillabaisse-day/,2,26,7.69%,16.31
https://www.obscureholidaycalendar.com/holiday/absurdity-day/,2,15,13.33%,34.4
https://www.obscureholidaycalendar.com/holiday/national-apple-turnover-day/,2,10,20%,56.6
https://www.obscureholidaycalendar.com/holiday/national-homemade-cookies-day/,2,4,50%,77.5
https://www.obscureholidaycalendar.com/holiday/national-ding-a-ling-day/,1,302,0.33%,12.5
https://www.obscureholidaycalendar.com/holiday/human-rights-day/,1,137,0.73%,5.15
https://www.obscureholidaycalendar.com/holiday/national-hangover-day/,1,116,0.86%,8.39
https://www.obscureholidaycalendar.com/holiday/international-mountain-day/,1,102,0.98%,4.76
https://www.obscureholidaycalendar.com/holiday/krampusnacht/,1,99,1.01%,8.1
https://www.obscureholidaycalendar.com/holiday/put-on-your-own-shoes-day/,1,81,1.23%,10.26
https://www.obscureholidaycalendar.com/holiday/world-emoji-day/,1,76,1.32%,10.39
https://www.obscureholidaycalendar.com/holiday/make-up-your-mind-day/,1,70,1.43%,4.57
https://www.obscureholidaycalendar.com/holiday/national-hard-candy-day/,1,62,1.61%,15.98
https://www.obscureholidaycalendar.com/holiday/bill-of-rights-day/,1,28,3.57%,10.11
https://www.obscureholidaycalendar.com/holiday/have-a-bagel-day/,1,28,3.57%,11.43
https://www.obscureholidaycalendar.com/holiday/,1,26,3.85%,3.92
https://www.obscureholidaycalendar.com/holiday/wear-brown-shoes-day/,1,26,3.85%,18.62
https://www.obscureholidaycalendar.com/holiday/national-cookie-exchange-day/,1,25,4%,19.96
https://www.obscureholidaycalendar.com/holiday/national-llama-day/,1,23,4.35%,27.3
https://www.obscureholidaycalendar.com/holiday/antarctica-day/,1,22,4.55%,13.05
https://www.obscureholidaycalendar.com/holiday/pretend-to-be-a-time-traveler-day/,1,21,4.76%,29.29
https://www.obscureholidaycalendar.com/holiday/make-a-gift-day/,1,20,5%,15
https://www.obscureholidaycalendar.com/holiday/learn-your-name-in-morse-code-day/,1,20,5%,17.5
https://www.obscureholidaycalendar.com/holiday/national-corn-on-the-cob-day/,1,18,5.56%,41.56
https://www.obscureholidaycalendar.com/holiday/visit-the-zoo-day/,1,16,6.25%,16.12
https://www.obscureholidaycalendar.com/holiday/st-nicholas-day/,1,16,6.25%,93.25
https://www.obscureholidaycalendar.com/holiday/make-cut-out-snowflakes-day/,1,14,7.14%,17.29
https://www.obscureholidaycalendar.com/holiday/christmas-card-day/,1,13,7.69%,20.69
https://www.obscureholidaycalendar.com/holiday/bake-cookies-day/,1,13,7.69%,41.46
https://www.obscureholidaycalendar.com/holiday/bacon-day/,1,11,9.09%,8.18
https://www.obscureholidaycalendar.com/holiday/national-tater-day/,1,11,9.09%,22
https://www.obscureholidaycalendar.com/holiday/weed-appreciation-day/,1,10,10%,53.4
https://www.obscureholidaycalendar.com/holiday/national-drink-beer-day/,1,10,10%,84.4
https://www.obscureholidaycalendar.com/holiday/international-talk-like-a-pirate-day/,1,9,11.11%,26.67
https://www.obscureholidaycalendar.com/holiday/national-kite-flying-day/,1,8,12.5%,41.75
https://www.obscureholidaycalendar.com/holiday/wiggle-your-toes-day/,1,8,12.5%,45.38
https://www.obscureholidaycalendar.com/holiday/national-mousse-day/,1,7,14.29%,40.86
https://www.obscureholidaycalendar.com/holiday/national-tell-a-joke-day/,1,7,14.29%,43.43
https://www.obscureholidaycalendar.com/holiday/celebrate-your-unique-talent-day/,1,6,16.67%,76.83
https://www.obscureholidaycalendar.com/holiday/national-bad-poetry-day/,1,5,20%,28
https://www.obscureholidaycalendar.com/holiday/national-poinsettia-day/,1,5,20%,68.4
https://www.obscureholidaycalendar.com/holiday/no-housework-day/,1,5,20%,69.8
https://www.obscureholidaycalendar.com/holiday/national-train-your-brain-day/,1,5,20%,72.6
https://www.obscureholidaycalendar.com/holiday/gummy-worm-day/,1,5,20%,104
https://www.obscureholidaycalendar.com/holiday/international-holocaust-remembrance-day/,1,4,25%,14.75
https://www.obscureholidaycalendar.com/holiday/new-beers-eve/,1,4,25%,130.75
https://www.obscureholidaycalendar.com/holiday/superman-day/,1,3,33.33%,77.33
https://www.obscureholidaycalendar.com/holiday/international-polar-bear-day/,1,2,50%,19.5
https://www.obscureholidaycalendar.com/holiday/supermans-birthday/,1,2,50%,20
https://www.obscureholidaycalendar.com/holiday/international-human-solidarity-day/,1,2,50%,40.5
https://www.obscureholidaycalendar.com/holiday/name-yourself-day/,1,2,50%,152.5
https://www.obscureholidaycalendar.com/holiday/cherries-jubilee-day/,1,2,50%,197
https://www.obscureholidaycalendar.com/holiday/national-blueberry-pancake-day/,1,2,50%,198
https://www.obscureholidaycalendar.com/holiday/christmas-eve/,1,1,100%,3
https://www.obscureholidaycalendar.com/holiday/world-baking-day/,1,1,100%,7
https://www.obscureholidaycalendar.com/holiday/big-wind-day/,1,1,100%,19
https://www.obscureholidaycalendar.com/holiday/grab-some-nuts-day/,1,1,100%,220
https://www.obscureholidaycalendar.com/holiday/national-nothing-day/,0,4985,0%,10.62
https://www.obscureholidaycalendar.com/holiday/national-ootd-day/,0,202,0%,13.47
https://www.obscureholidaycalendar.com/holiday/celebration-of-life-day/,0,201,0%,10.27
https://www.obscureholidaycalendar.com/holiday/national-aunt-and-uncle-day/,0,95,0%,65.36
https://www.obscureholidaycalendar.com/holiday/national-sisters-day/,0,84,0%,67.4
https://www.obscureholidaycalendar.com/holiday/appreciate-a-dragon-day/,0,82,0%,14.62
https://www.obscureholidaycalendar.com/holiday/national-rubber-ducky-day/,0,73,0%,26.45
https://www.obscureholidaycalendar.com/holiday/go-caroling-day/,0,65,0%,11.97
https://www.obscureholidaycalendar.com/holiday/thanksgiving-day/,0,60,0%,7.82
https://www.obscureholidaycalendar.com/holiday/national-chocolate-covered-anything-day/,0,59,0%,45.51
https://www.obscureholidaycalendar.com/holiday/national-technology-day/,0,55,0%,11.45
https://www.obscureholidaycalendar.com/holiday/thesaurus-day/,0,55,0%,22.51
https://www.obscureholidaycalendar.com/app/,0,53,0%,5.25
https://www.obscureholidaycalendar.com/holiday/red-planet-day/,0,47,0%,3.49
https://www.obscureholidaycalendar.com/holiday/safety-razor-day/,0,47,0%,16.23
https://www.obscureholidaycalendar.com/holiday/wikipedia-day/,0,45,0%,14.78
https://www.obscureholidaycalendar.com/holiday/national-muffin-day/,0,43,0%,23.23
https://www.obscureholidaycalendar.com/holiday/international-potato-chip-day/,0,43,0%,31.09
https://www.obscureholidaycalendar.com/holiday/national-letter-writing-day/,0,38,0%,9.95
https://www.obscureholidaycalendar.com/holiday/world-ufo-day/,0,38,0%,39.53
https://www.obscureholidaycalendar.com/holiday/cuddle-up-day/,0,38,0%,39.58
https://www.obscureholidaycalendar.com/holiday/electronic-greetings-day/,0,36,0%,21.39
https://www.obscureholidaycalendar.com/holiday/national-alien-abduction-day/,0,35,0%,9.14
https://www.obscureholidaycalendar.com/holiday/lithuanian-independence-day/,0,34,0%,28.62
https://www.obscureholidaycalendar.com/holiday/no-dirty-dishes-day/,0,32,0%,10
https://www.obscureholidaycalendar.com/holiday/national-pig-day/,0,32,0%,26.09
https://www.obscureholidaycalendar.com/holiday/answer-the-telephone-like-buddy-the-elf-day/,0,31,0%,12.13
https://www.obscureholidaycalendar.com/holiday/saint-catherines-day/,0,30,0%,50.17
https://www.obscureholidaycalendar.com/holiday/national-measure-your-feet-day/,0,28,0%,11.14
https://www.obscureholidaycalendar.com/holiday/opposite-day/,0,28,0%,63.14
https://www.obscureholidaycalendar.com/holiday/popeye-s-birthday/,0,27,0%,22.44
https://www.obscureholidaycalendar.com/holiday/national-tempura-day/,0,26,0%,18.96
https://www.obscureholidaycalendar.com/holiday/national-bacon-day/,0,26,0%,63.96
https://www.obscureholidaycalendar.com/holiday/national-bird-day/,0,25,0%,22.6
https://www.obscureholidaycalendar.com/slack-bot/,0,25,0%,40.28
https://www.obscureholidaycalendar.com/holiday/science-fiction-day/,0,24,0%,22.96
https://www.obscureholidaycalendar.com/holiday/international-joke-day/,0,24,0%,27.83
https://www.obscureholidaycalendar.com/holiday/international-day-of-awesomeness/,0,23,0%,13.57
https://www.obscureholidaycalendar.com/holiday/napping-day/,0,22,0%,14.82
https://www.obscureholidaycalendar.com/holiday/learn-what-your-name-means-day/,0,21,0%,20.48
https://www.obscureholidaycalendar.com/holiday/take-your-houseplant-for-a-walk-day/,0,21,0%,32.14
