date,name,category,emoji,floating
01-01,National Hangover Day,Wellness & Self-Care,🤢,False
01-01,New Years Day,Seasonal & Calendar,🎉,False
01-02,National Buffet Day,Food & Drink,🍽,False
01-02,Science Fiction Day,Fun & Weird (uncategorized),🚀,False
01-03,Fruitcake Toss Day,Food & Drink,🎯,False
01-03,Women Rock! day,Arts & Culture,💪,False
01-04,National Spaghetti Day,Food & Drink,🍝,False
01-04,World Braille Day,"Science, History & Curiosities",🔤,False
01-05,National Bird Day,Animals & Nature,🐦,False
01-05,National Whipped Cream Day,Food & Drink,🍦,False
01-06,Cuddle Up Day,Fun & Weird (uncategorized),🤗,False
01-06,National Technology Day,Work & Technology,💻,False
01-07,National Tempura Day,Food & Drink,🍤,False
01-07,Old Rock Day,Fun & Weird (uncategorized),🗿,False
01-08,Bubble Bath Day,Wellness & Self-Care,🛁,False
01-08,Earths Rotation Day,Fun & Weird (uncategorized),🌍,False
01-09,National Law Enforcement Appreciation Day,Kindness & Relationships,🚨,False
01-09,Static Electricity Day,"Science, History & Curiosities",⚡,False
01-10,Houseplant Appreciation Day,Animals & Nature,🌼,False
01-10,Peculiar People Day,Fun & Weird (uncategorized),🧐,False
01-11,Learn Your Name in Morse Code Day,"Science, History & Curiosities",📡,False
01-11,National Milk Day,Food & Drink,🥛,False
01-12,National Hot Tea Day,Food & Drink,☕,False
01-12,National Pharmacist Day,Fun & Weird (uncategorized),💊,False
01-13,Korean American Day,Arts & Culture,🎉,False
01-13,National Rubber Ducky Day,Fun & Weird (uncategorized),🦆,False
01-14,Dress Up Your Pet Day,Animals & Nature,🐶,False
01-14,Organize Your Home Day,Wellness & Self-Care,🧹,False
01-15,National Hat Day,Fun & Weird (uncategorized),🎩,False
01-15,Wikipedia Day,Arts & Culture,🌐,False
01-16,Appreciate a Dragon Day,Fun & Weird (uncategorized),🐉,False
01-16,National Nothing Day,Fun & Weird (uncategorized),🤷,False
01-17,Kid Inventors' Day,"Science, History & Curiosities",💡,False
01-17,Popeye's Birthday,Arts & Culture,⚓,False
01-18,Thesaurus Day,"Science, History & Curiosities",📖,False
01-18,Winnie the Pooh Day,Arts & Culture,🐻,False
01-19,National Popcorn Day,Food & Drink,🍿,False
01-19,Tin Can Day,Fun & Weird (uncategorized),🥫,False
01-20,National Cheese Lovers Day,Food & Drink,🧀,False
01-20,Penguin Awareness Day,Animals & Nature,🐧,False
01-21,National Hugging Day,Kindness & Relationships,🤗,False
01-21,Squirrel Appreciation Day,Animals & Nature,🐿,False
01-22,Celebration of Life Day,Arts & Culture,✨,False
01-22,National Answer Your Cat's Questions Day,Animals & Nature,🐱❓,False
01-23,National Measure Your Feet Day,Fun & Weird (uncategorized),📏,False
01-23,National Pie Day,Food & Drink,🥧,False
