page,title,total_internal_outbound_links,total_internal_outbound_links_to_crawled_pages,total_internal_inbound_links,depth_from_homepage,is_orphan_page,has_lt_5_inbound_links,has_gt_50_outbound_links,holiday_primary_category,holiday_inferred_tags,structural_weakness_score,authority_hub_score
/,"Obscure Holiday Calendar – Fun, Weird & Obscure Daily Holidays",44,43,2234,0,no,no,no,,,0,2239.28
/404.html,Redirecting…,0,0,0,-1,yes,yes,no,,,70,-2.5
/about/,About — Obscure Holiday Calendar,16,16,1495,1,no,no,no,,,2,1496.42
/app/,"Obscure Holiday Calendar App – Widgets, Reminders & Daily Fun Holidays",16,16,738,2,no,no,no,,,4,738.92
/articles/,Complete Guide to December’s Obscure Holidays,0,0,0,-1,yes,yes,no,,,70,-2.5
/contact/,Contact — Obscure Holiday Calendar,15,15,1498,1,no,no,no,,,2,1499.3
/discord-bot/,"Obscure Holiday Calendar Discord Bot | Daily Holidays, Facts, and Auto Posts",17,17,1508,1,no,no,no,,,2,1509.54
/discord-bot/canceled.html,Checkout canceled — Obscure Holiday Bot,1,1,0,-1,yes,yes,no,,,70,-2.38
/discord-bot/privacy.html,Privacy Policy · Obscure Holiday Discord Bot,11,11,2,-1,no,yes,no,,,28,0.82
/discord-bot/success.html,Premium activated — Obscure Holiday Bot,1,1,0,-1,yes,yes,no,,,70,-2.38
/discord-bot/terms.html,Terms of Service · Obscure Holiday Discord Bot,13,13,0,-1,yes,yes,no,,,70,-0.94
/holiday/,Holiday Library — Obscure Holiday Calendar,746,746,2897,1,no,no,yes,,,7,2906.1
/holiday/absurdity-day/,Absurdity Day — Obscure Holiday Calendar,27,27,10,2,no,no,no,fun_weird_general,fun_weird_general,4,12.24
/holiday/according-to-hoyle-day/,According to Hoyle Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,fun_weird_general,fun_weird_general,4,13.24
/holiday/alexander-graham-bell-day/,Alexander Graham Bell Day — Obscure Holiday Calendar,27,27,12,2,no,no,no,fun_weird_general,fun_weird_general,4,14.24
/holiday/all-or-nothing-day/,All or Nothing Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,fun_weird_general,fun_weird_general,4,13.24
/holiday/american-beer-day/,American Beer Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,food_drink,food_drink;animals_nature,4,13.24
/holiday/american-football-day/,American Football Day — Obscure Holiday Calendar,27,27,10,2,no,no,no,fun_weird_general,fun_weird_general,4,12.24
/holiday/american-touch-tag-day/,American Touch Tag Day — Obscure Holiday Calendar,27,27,12,2,no,no,no,fun_weird_general,fun_weird_general,4,14.24
/holiday/angel-food-cake-day/,Angel Food Cake Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,food_drink,food_drink,4,13.24
/holiday/answer-the-telephone-like-buddy-the-elf-day/,Answer The Telephone Like Buddy The Elf Day — Obscure Holiday Calendar,27,27,10,2,no,no,no,fun_weird_general,fun_weird_general,4,12.24
/holiday/antarctica-day/,Antarctica Day — Obscure Holiday Calendar,27,27,10,2,no,no,no,fun_weird_general,fun_weird_general,4,12.24
/holiday/appreciate-a-dragon-day/,Appreciate a Dragon Day — Obscure Holiday Calendar,27,27,9,2,no,no,no,fun_weird_general,fun_weird_general,4,11.24
/holiday/april-fools-day/,April Fools' Day — Obscure Holiday Calendar,27,27,12,2,no,no,no,fun_weird_general,fun_weird_general,4,14.24
/holiday/ask-a-stupid-question-day/,Ask a Stupid Question Day — Obscure Holiday Calendar,27,27,12,2,no,no,no,fun_weird_general,fun_weird_general,4,14.24
/holiday/australia-day/,Australia Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,fun_weird_general,fun_weird_general,4,13.24
/holiday/awkward-moments-day/,Awkward Moments Day — Obscure Holiday Calendar,27,27,8,2,no,no,no,fun_weird_general,fun_weird_general,4,10.24
